gender,body_shape,skin_tone,hair_color,personal_color,style,destination,weather,outfit_top,outfit_bottom,outfit_shoes,outfit_accessories,reason
Male,Pear,Tan,Blonde,Summer,Casual,Campus,Cold & Windy,Striped t-shirt,A-line floral skirt,Black boots,"Waterproof trench coat, leather belt",Shoes are comfortable for long walks.
Male,Hourglass,Light,Red,Summer,Streetwear,Campus,Mild & Pleasant,Pastel silk blouse,Jogger pants,Slip-on shoes,Statement necklace,Soft colors and flowy fabrics suit the occasion and body shape.
Female,Rectangle,Medium,Brown,Autumn,Formal,Job Interview,Rainy & Cool,Light blue oxford shirt,Slim-fit jeans,Espadrille sandals,"Beanie, scarf",Accessories add a personal touch to your look.
Male,Pear,Tan,Blonde,Spring,Formal,Job Interview,Hot & Humid,Denim jacket,Pleated trousers,Flat sandals,"Straw hat, sunglasses",The outfit is easy to mix and match.
Female,Hourglass,Light,Gray,Autumn,Formal,Travel,Rainy & Cool,Loose cotton tunic,A-line floral skirt,Flat sandals,"Straw hat, sunglasses",The outfit is easy to mix and match.
Female,Triangle,Light,Blonde,Spring,Smart Casual,Campus,Cold & Windy,Oversized hoodie,Slim-fit jeans,White sneakers,"Pearl earrings, clutch bag",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Pear,Olive,Gray,Winter,Streetwear,Travel,Sunny & Warm,Loose cotton tunic,Maxi skirt,Nude heels,"Crossbody bag, floppy hat",Light fabrics keep you cool and accessories protect from the sun.
Male,Apple,Dark,Brown,Summer,Casual,Hangout,Sunny & Warm,Striped t-shirt,Maxi skirt,Flat sandals,"Pearl earrings, clutch bag",Colors are chosen to match your personal palette.
Male,Hourglass,Dark,Brown,Spring,Streetwear,Hangout,Rainy & Cool,Flowy tank top,Maxi skirt,Ballet flats,"Crossbody bag, floppy hat",Accessories add a personal touch to your look.
Female,Triangle,Olive,Red,Winter,Formal,Campus,Hot & Humid,Loose cotton tunic,Pleated trousers,Slip-on shoes,"Waterproof trench coat, leather belt",Layering keeps you warm and stylish for casual outings.
Female,Apple,Olive,Gray,Spring,Streetwear,Travel,Mild & Pleasant,Flowy tank top,High-waisted denim shorts,Brown loafers,"Straw hat, sunglasses",Layering keeps you warm and stylish for casual outings.
Male,Rectangle,Medium,Red,Autumn,Formal,Formal Meeting,Sunny & Warm,White linen blouse,Slim-fit jeans,Slip-on shoes,"Leather backpack, watch",Light fabrics keep you cool and accessories protect from the sun.
Male,Pear,Dark,Blonde,Autumn,Casual,Casual Outing,Hot & Humid,Flowy tank top,Cargo pants,Black boots,"Leather backpack, watch",Classic pieces ensure comfort and style.
Male,Pear,Dark,Brown,Summer,Elegant,Job Interview,Sunny & Warm,Oversized hoodie,Slim-fit jeans,Brown loafers,"Pearl earrings, clutch bag",Light fabrics keep you cool and accessories protect from the sun.
Female,Rectangle,Tan,Red,Autumn,Streetwear,Job Interview,Cold & Windy,Light blue oxford shirt,Navy chinos,High-top sneakers,"Leather backpack, watch",Colors are chosen to match your personal palette.
Female,Triangle,Olive,Red,Winter,Bohemian,Formal Meeting,Cold & Windy,Pastel silk blouse,Pleated trousers,Espadrille sandals,"Waterproof trench coat, leather belt",Accessories add a personal touch to your look.
Male,Hourglass,Dark,Gray,Winter,Bohemian,Campus,Sunny & Warm,Oversized hoodie,Pleated trousers,White sneakers,"Straw hat, sunglasses",Soft colors and flowy fabrics suit the occasion and body shape.
Female,Triangle,Olive,Black,Winter,Streetwear,Hangout,Mild & Pleasant,Pastel silk blouse,Wide-leg linen pants,Ballet flats,Statement necklace,Light fabrics keep you cool and accessories protect from the sun.
Female,Apple,Medium,Red,Winter,Bohemian,Job Interview,Rainy & Cool,Flowy tank top,Jogger pants,Slip-on shoes,"Straw hat, sunglasses",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Hourglass,Tan,Black,Winter,Streetwear,Beach,Sunny & Warm,Light blue oxford shirt,A-line floral skirt,Brown loafers,"Leather backpack, watch",Layering keeps you warm and stylish for casual outings.
Male,Rectangle,Tan,Brown,Autumn,Bohemian,Casual Outing,Cold & Windy,White linen blouse,Maxi skirt,Ballet flats,Silk scarf,Accessories add a personal touch to your look.
Female,Apple,Dark,Brown,Winter,Smart Casual,Casual Outing,Rainy & Cool,Flowy tank top,Slim-fit jeans,Black boots,"Beanie, scarf",The outfit is easy to mix and match.
